parameter,value,se_sa,rse_sa
EMAX_pop,0.117449069461696,0.00448093260594361,3.81521337417237
beta_EMAX_COV_AGE,-0.00476554227898663,0.000554478866182521,-11.6351683338843
C50_pop,0.0148078577947375,0.000630341946297651,4.25680712926394
k_out_pop,1.27366142280617,0.136105305381299,10.6861449160819
omega_EMAX,0.165348078933911,0.00319828516985907,1.93427416301427
omega_k_out,2.97655891813071,0.114934541311943,3.86132256989295
a,0.0240760734075123,0.000581508028128925,2.41529429772996
b,0.0846083883551413,0.00148302236075748,1.75280771751913
