parameter,value,se_sa,rse_sa
EMAX_pop,0.126964623060425,0.00993686918708325,7.82648658150556
beta_EMAX_CAT_STD_AVENUE,-0.00420694117521165,0.0230142588609124,-547.054448883626
beta_EMAX_CAT_STD_HARBOR,0.0146864309785545,0.0121608670321527,82.8034193597496
beta_EMAX_CAT_STD_MARINA,-0.0308267582540408,0.012372553288803,-40.1357586381345
beta_EMAX_CAT_STD_PIER,-0.0716605425344378,0.0183418352746762,-25.5954457306288
beta_EMAX_CAT_STD_STAIRWAY,0.027070867960484,0.0424306647482544,156.73921061634
beta_EMAX_COV_AGE,-0.00487253465018713,0.000531622995669118,-10.9106047229177
C50_pop,0.0105320833191835,0.000508075209111727,4.82407130397747
k_out_pop,1.31228297845169,0.139103386977785,10.6001060184372
omega_EMAX,0.161477931238531,0.00306006704437546,1.89503730999329
omega_k_out,2.99394391623595,0.114559961548682,3.82638969712931
a,0.0241344207724092,0.000577970506063732,2.39479750317636
b,0.0841404284597612,0.001470186382609,1.74730080357517
