parameter,value,se_sa,rse_sa
EMAX_pop,0.122362582279067,0.0206491642203196,16.8753910188215
beta_EMAX_CAT_STD_HARBOR,0.0195359699282695,0.0217957248839543,111.567150051838
beta_EMAX_CAT_STD_MARINA,-0.0255054543992781,0.0219046575442173,-85.8822477784878
beta_EMAX_CAT_STD_PIER,-0.0603068770046263,0.0257789114622068,-42.7462218947753
beta_EMAX_CAT_STD_STAIRWAY,0.0319650870111811,0.0463670684412543,145.055348746698
beta_EMAX_COV_AGE,-0.00494031444181705,0.000587535468208212,-11.8926735358188
C50_pop,0.0159353369148433,0.00230080136812985,14.4383603586487
k_out_pop,1.27942433104026,0.149104644680696,11.6540416704022
omega_EMAX,0.160995543015433,0.00341552604035076,2.12150347542438
omega_k_out,2.93894541154278,0.131708371291409,4.48148409882408
a,0.0257863207213932,0.000635058869199471,2.46277425950343
b,0.0768172121977336,0.00155302667835586,2.02171705262909
