EMAX_pop,3.21e-5,9.45e-7,2.05e-5,-3.02e-5,3.45e-7,2.4e-5,1.8e-8,-8.5e-8
beta_EMAX_COV_AGE,9.45e-7,4.95e-7,3.07e-7,9.27e-7,-9.2e-9,-6.52e-7,-6.72e-10,2.27e-9
C50_pop,2.05e-5,3.07e-7,0.00786,-0.000194,9.5e-6,-0.000254,1.12e-8,1.45e-7
k_out_pop,-3.02e-5,9.27e-7,-0.000194,0.0217,-4.79e-5,-0.00688,-2.2e-6,4.19e-6
omega_EMAX,3.45e-7,-9.2e-9,9.5e-6,-4.79e-5,1.61e-5,3.76e-5,5.85e-8,-1.84e-7
omega_k_out,2.4e-5,-6.52e-7,-0.000254,-0.00688,3.76e-5,0.0251,-2.43e-6,2.55e-6
a,1.8e-8,-6.72e-10,1.12e-8,-2.2e-6,5.85e-8,-2.43e-6,5.47e-7,-1.38e-6
b,-8.5e-8,2.27e-9,1.45e-7,4.19e-6,-1.84e-7,2.55e-6,-1.38e-6,4.13e-6
