EMAX_pop,1,0.237,0.0409,-0.0363,0.0152,0.0268,0.0043,-0.00738
beta_EMAX_COV_AGE,0.237,1,0.00492,0.00896,-0.00326,-0.00585,-0.00129,0.00159
C50_pop,0.0409,0.00492,1,-0.0148,0.0267,-0.0181,0.000171,0.000802
k_out_pop,-0.0363,0.00896,-0.0148,1,-0.081,-0.295,-0.0202,0.014
omega_EMAX,0.0152,-0.00326,0.0267,-0.081,1,0.0591,0.0197,-0.0226
omega_k_out,0.0268,-0.00585,-0.0181,-0.295,0.0591,1,-0.0207,0.00792
a,0.0043,-0.00129,0.000171,-0.0202,0.0197,-0.0207,1,-0.918
b,-0.00738,0.00159,0.000802,0.014,-0.0226,0.00792,-0.918,1
