EMAX_pop,1,0.103,0.0575,-0.0411,0.0168,0.026,0.0012,-0.0039
beta_EMAX_COV_AGE,0.103,1,0.00421,0.00989,0.00333,-0.0105,-0.00364,0.00354
C50_pop,0.0575,0.00421,1,-0.0411,0.0345,-0.0623,0.00619,-0.00391
k_out_pop,-0.0411,0.00989,-0.0411,1,-0.0651,-0.264,-0.0279,0.0252
omega_EMAX,0.0168,0.00333,0.0345,-0.0651,1,0.0469,0.0158,-0.0185
omega_k_out,0.026,-0.0105,-0.0623,-0.264,0.0469,1,-0.0376,0.0209
a,0.0012,-0.00364,0.00619,-0.0279,0.0158,-0.0376,1,-0.923
b,-0.0039,0.00354,-0.00391,0.0252,-0.0185,0.0209,-0.923,1
