parameter,value,se_sa,rse_sa
EMAX_pop,0.117799787051053,0.00434949379678765,3.69227645114725
beta_EMAX_COV_AGE,-0.00472520596636834,0.000534672345768047,-11.315323598031
C50_pop,0.0140064788449939,0.00136313610126121,9.73218263024337
k_out_pop,1.33018160165774,0.13976424378216,10.5071550837855
omega_EMAX,0.163563081351979,0.00310434100306108,1.89794724909878
omega_k_out,2.93898344729198,0.115975412134115,3.9461063396249
a,0.0241673888268071,0.000576601521853033,2.3858660361911
b,0.0840443045894471,0.0014665132920146,1.74492881960111
