EMAX_pop,2.01e-5,3.49e-7,3.19e-6,-1.21e-5,7.02e-8,9.69e-6,7.01e-9,-3.71e-8
beta_EMAX_COV_AGE,3.49e-7,3.07e-7,1.38e-8,4.3e-7,-2.5e-9,-5.11e-7,-1.07e-9,3.15e-9
C50_pop,3.19e-6,1.38e-8,0.00181,-4.14e-5,1.4e-6,-5.78e-5,3.07e-8,-6e-8
k_out_pop,-1.21e-5,4.3e-7,-4.14e-5,0.0114,-1.75e-5,-0.00314,-1.41e-6,3.12e-6
omega_EMAX,7.02e-8,-2.5e-9,1.4e-6,-1.75e-5,1.02e-5,1.42e-5,2.73e-8,-8.45e-8
omega_k_out,9.69e-6,-5.11e-7,-5.78e-5,-0.00314,1.42e-5,0.0132,-1.85e-6,2.09e-6
a,7.01e-9,-1.07e-9,3.07e-8,-1.41e-6,2.73e-8,-1.85e-6,3.38e-7,-7.91e-7
b,-3.71e-8,3.15e-9,-6e-8,3.12e-6,-8.45e-8,2.09e-6,-7.91e-7,2.2e-6
